GSS_CODE;NAME;y;E;SMR;x1
E09000001;City of London;4;1.5;2.694847624;12.84
E09000002;Barking and Dagenham;34;37.5;0.907777885;34.49
E09000003;Barnet;68;71.6;0.949721652;21.16
E09000004;Bexley;57;46.6;1.222784765;16.21
E09000005;Brent;64;62.5;1.02351477;29.22
E09000006;Bromley;72;62.2;1.157723908;14.36
E09000007;Camden;53;44.1;1.202516688;28.62
E09000008;Croydon;83;73.1;1.136096021;21.31
E09000009;Ealing;48;68;0.706397399;25.1
E09000010;Enfield;50;62.9;0.795316331;26.19
E09000011;Greenwich;35;51.2;0.684093825;33.94
E09000012;Hackney;51;49.5;1.030298262;46.1
E09000013;Hammersmith and Fulham;42;36.5;1.149547596;28.07
E09000014;Haringey;74;51.2;1.446047178;35.73
E09000015;Harrow;33;48.2;0.685188867;15.59
E09000016;Havering;46;47.6;0.965436549;16.07
E09000017;Hillingdon;50;55.2;0.906274187;18.56
E09000018;Hounslow;37;51.1;0.724762179;23.2
E09000019;Islington;55;41.3;1.331388107;38.96
E09000020;Kensington and Chelsea;37;31.7;1.167521519;23.51
E09000021;Kingston upon Thames;21;32.1;0.653622663;13.1
E09000022;Lambeth;56;61;0.918411816;34.94
E09000023;Lewisham;60;55.5;1.081878106;31.04
E09000024;Merton;42;40.2;1.045806691;14.62
E09000025;Newham;60;62.2;0.965062033;42.95
E09000026;Redbridge;44;56.4;0.780811018;20.36
E09000027;Richmond upon Thames;24;37.6;0.639082711;9.55
E09000028;Southwark;69;57.8;1.193400917;33.33
E09000029;Sutton;39;38.3;1.018969738;13.98
E09000030;Tower Hamlets;67;51.3;1.306845099;44.64
E09000031;Waltham Forest;55;52;1.057377689;33.19
E09000032;Wandsworth;59;61.6;0.957458666;20.34
E09000033;Westminster;54;44;1.22802344;26.3